ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,icao_code,iata_code
UUYY,medium_airport,Syktyvkar Airport,61.64699935913086,50.84510040283203,342,RU,Syktyvkar,UUYY,SCW
UWGG,large_airport,Nizhny Novgorod / Strigino International Airport,56.227351,43.785152,256,RU,Nizhny Novgorod,UWGG,GOJ
UWKB,medium_airport,Bugulma Airport,54.641184,52.800229,991,RU,Bugulma,UWKB,UUA
UWKD,large_airport,Kazan International Airport,55.606201,49.278702,411,RU,Kazan,UWKD,KZN
UWKE,medium_airport,Begishevo Airport,55.564701,52.092499,643,RU,Nizhnekamsk,UWKE,NBC
UWKJ,medium_airport,Yoshkar-Ola Airport,56.7006,47.904701,348,RU,Yoshkar-Ola,UWKJ,JOK
UWKS,medium_airport,Cheboksary Airport,56.090302,47.347301,558,RU,Cheboksary,UWKS,CSY
UWLL,medium_airport,Ulyanovsk Baratayevka Airport,54.27016,48.225569,449,RU,Ulyanovsk,UWLL,ULV
UWLW,medium_airport,Ulyanovsk Vostochny Airport,54.401001,48.8027,252,RU,Cherdakly,UWLW,ULY
UWOH,small_airport,Kvarkeno Airport,52.077797,59.686542,,RU,Kvarkeno,UWOH,
UWOO,medium_airport,Orenburg Central Airport,51.792668,55.457229,387,RU,Orenburg,UWOO,REN
UWOR,medium_airport,Orsk Airport,51.072498,58.5956,909,RU,Orsk,UWOR,OSW
UWOS,small_airport,Svetlyy Airport,50.800721,60.902367,978,RU,,UWOS,
UWPP,medium_airport,Penza Airport,53.1106,45.021099,614,RU,Penza,UWPP,PEZ
UWPS,large_airport,Saransk International Airport,54.12513,45.212257,676,RU,Saransk,UWPS,SKX
UWSB,medium_airport,Balakovo Airport,51.858299,47.745602,95,RU,Balakovo,UWSB,BWO
UWSG,large_airport,Gagarin International Airport,51.712778,46.171111,103,RU,Saratov,UWSG,GSV
UWUB,small_airport,Beloretsk Airport,53.938389,58.340113,1827,RU,Beloretsk,UWUB,BCX
UWUK,small_airport,Oktyabrskiy Airport,54.439999,53.388302,377,RU,Kzyl-Yar,UWUK,OKT
UWUU,large_airport,Ufa International Airport,54.557498931885,55.874401092529,449,RU,Ufa,UWUU,UFA
UWWS,small_airport,Smyshlyayevka Airport,53.241318,50.374982,131,RU,Samara,UWWS,
UWWW,large_airport,Kurumoch International Airport,53.504902,50.164299,477,RU,Samara,UWWW,KUF
UZ-0153,small_airport,Sokh Airport,39.987938,71.124866,3720,UZ,Sokh,UZSO,
UZR,small_airport,Urzhar Airport,47.091786,81.668216,,KZ,Urzhar,UASU,UZR
VA1G,medium_airport,"Rewa Airport, Chorhata, REWA",24.503401,81.220299,1000,IN,Rewa,VERW,REW
VA1P,small_airport,Diu Airport,20.714185,70.921855,31,IN,Diu,VADU,DIU
VA2C,medium_airport,Gondia Airport,21.526817,80.290347,987,IN,Gondia,VAGD,GDB
VAAH,large_airport,Sardar Vallabh Patel International Airport,23.0772,72.634697,189,IN,Ahmedabad,VAAH,AMD
VAAK,medium_airport,Akola Airport,20.698931,77.056883,999,IN,Akola,VAAK,AKD
VAAU,medium_airport,Aurangabad Airport,19.862875,75.396312,1911,IN,Aurangabad,VAAU,IXU
VABB,large_airport,Chhatrapati Shivaji Maharaj International Airport,19.088699,72.867897,39,IN,Mumbai,VABB,BOM
